15min,30min,45min,60min,,,15min,30min,45min,60min
8.591670116,8.776582472,8.68849145,8.588480091,,Type I,10.10317787,8.756249483,8.760123804,8.75649007
6.763924105,6.878210178,6.863700583,6.92823562,,Type II,8.565288552,8.561386605,8.56143846,8.567097395
8.322751496,8.299996399,8.44195248,8.354713351,,,,,,
7.879023919,7.55162221,7.739565347,8.329573214,,,,,,
9.950332257,9.912092804,9.868671528,9.957439994,,,,,,
9.869879646,9.814110983,9.833391091,9.830371107,,,,,,
14.81100136,15.37394797,15.02256533,15.04392006,,,,,,
11.9159967,12.183063,12.04944657,11.87064958,,,,,,
16.12985771,16.28578161,16.20551966,16.1172849,,,,,,
11.14265919,11.30701622,11.56007895,11.21695128,,,,,,
6.768809924,6.804282046,6.691671696,6.754287413,,,,,,
8.02133833,8.016636675,8.025334187,7.76959442,,,,,,
9.072202596,7.366923066,8.315412387,8.004234398,,,,,,
9.132669756,9.018662069,9.108775597,9.193735864,,,,,,
9.841770264,9.907555438,10.01518327,9.963854807,,,,,,
13.43695857,13.41825005,13.39457541,13.4411405,,,,,,
10.10317787,8.756249483,8.760123804,8.75649007,,,,,,
15min,30min,45min,60min,,,,,,
10.00550879,10.00401243,10.04579433,10.05988789,,,,,,
7.580537101,7.597298197,7.566105494,7.582762275,,,,,,
5.685041855,5.809845412,5.724346244,5.739642945,,,,,,
12.48799512,12.63426053,12.39302702,12.47926691,,,,,,
5.732396765,5.555689189,5.530667118,5.789689672,,,,,,
8.554149172,8.401992618,8.5821259,8.820673974,,,,,,
7.35222748,7.123128347,7.120672077,7.326628342,,,,,,
5.960135397,5.970029622,5.993041196,5.950932013,,,,,,
7.586169584,7.334791327,7.823279876,7.613443961,,,,,,
9.184416576,9.064022655,9.116922667,9.117914626,,,,,,
13.93376752,14.0454599,14.01896966,13.98756537,,,,,,
12.28262453,12.56020051,12.52199631,12.26404927,,,,,,
16.27197914,16.07262672,16.16255822,15.932278,,,,,,
13.27938727,13.32627984,13.24468071,13.18124873,,,,,,
8.039532135,8.04574479,7.977234732,7.808226935,,,,,,
7.972902226,7.969204175,7.953256684,7.956511802,,,,,,
8.23784794,8.275110727,8.242493546,8.197037183,,,,,,
9.840995174,9.902697332,9.83225528,9.859472937,,,,,,
11.93131939,11.90310792,11.90411521,11.91003724,,,,,,
7.08887433,7.077840592,7.150611738,7.122513021,,,,,,
6.61574043,6.548770197,6.497312481,6.490876772,,,,,,
6.910898239,6.9319904,6.936374373,6.921483501,,,,,,
9.218626952,9.122002897,9.118226516,9.142317671,,,,,,
5.250925271,5.244027173,5.219576724,5.265003159,,,,,,
10.56407332,10.54757912,10.62782108,10.48561194,,,,,,
8.070226309,8.083351409,8.112869888,8.025951711,,,,,,
